id,code,name,type,parent_id:id,reconcile,user_type:id
ni_puc_110704,110704,PÉRDIDAS DE INVENTARIO,view,ni_puc_1107,FALSE,l10n_ni.account_type_stock
ni_puc_11070401,11070401,Sobrante de Inventario,other,ni_puc_110704,FALSE,l10n_ni.account_type_stock
ni_puc_11070402,11070402,Faltante de Inventarios,other,ni_puc_110704,FALSE,l10n_ni.account_type_stock
ni_puc_11070403,11070403,Diferencias de precio compras de Inventario,other,ni_puc_110704,FALSE,l10n_ni.account_type_stock
ni_puc_11070404,11070404,Deterioro de productos,other,ni_puc_110704,FALSE,l10n_ni.account_type_stock
ni_puc_1108,1108,DEPÓSITOS EN GARANTÍA,view,ni_puc_11,FALSE,account.data_account_type_asset
ni_puc_110801,110801,Alquileres,other,ni_puc_1108,FALSE,account.data_account_type_asset
ni_puc_12,12,ACTIVOS FIJOS,view,ni_puc_1,FALSE,account.data_account_type_asset
ni_puc_1201,1201,MOBILIARIO Y EQUIPO,view,ni_puc_12,FALSE,account.data_account_type_asset
ni_puc_120101,120101,Mobiliario y equipo de oficina,other,ni_puc_1201,FALSE,account.data_account_type_asset
ni_puc_120102,120102,Depreciación mobiliario y equipo de oficina,other,ni_puc_1201,FALSE,account.data_account_type_asset
ni_puc_1202,1202,EQUIPO DE CÓMPUTO,view,ni_puc_12,FALSE,account.data_account_type_asset
ni_puc_120201,120201,Equipo de cómputo,other,ni_puc_1202,FALSE,account.data_account_type_asset
ni_puc_120202,120202,Depreciación equipo de cómputo,other,ni_puc_1202,FALSE,account.data_account_type_asset
ni_puc_1203,1203,VEHÍCULOS,view,ni_puc_12,FALSE,account.data_account_type_asset
ni_puc_120301,120301,Vehículos,other,ni_puc_1203,FALSE,account.data_account_type_asset
ni_puc_120302,120302,Depreciación Vehículos,other,ni_puc_1203,FALSE,account.data_account_type_asset
ni_puc_1204,1204,"PROPIEDADES, TERRENOS Y EDIFICIOS",view,ni_puc_12,FALSE,account.data_account_type_asset
ni_puc_120401,120401,Bienes inmuebles,other,ni_puc_1204,FALSE,account.data_account_type_asset
